ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Income_Binned,Cluster_DBSCAN,PCA_Cluster_DBSCAN,Cluster_KMeans,MntTotal
5524,1957,2,4,58138.0,0,0,2012-09-04,58,635.0,8,546,12,8,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1,-1,0,1,25
2174,1954,2,4,46344.0,1,1,2014-03-08,38,11.0,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,1,-1,0,0,6
4141,1965,2,5,71613.0,0,0,2013-08-21,26,426.0,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,1,-1,0,1,21
6182,1984,2,5,26646.0,1,0,2014-02-10,26,11.0,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1,-1,0,0,8
5324,1981,4,3,58293.0,1,0,2014-01-19,94,173.0,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1,-1,0,1,19
7446,1967,3,5,62513.0,0,1,2013-09-09,16,520.0,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1,-1,0,1,22
965,1971,2,2,55635.0,0,1,2012-11-13,34,235.0,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1,-1,0,1,21
6177,1985,4,3,33454.0,1,0,2013-05-08,32,76.0,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1,-1,0,0,10
4855,1974,4,5,30351.0,1,0,2013-06-06,19,14.0,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,-1,0,0,6
5899,1950,4,5,5648.0,1,1,2014-03-13,68,28.0,0,6,1,1,13,1,1,0,0,6,1,0,0,0,0,0,3,11,0,1,-1,0,0,2
1994,1983,2,3,52247.25135379061,1,0,2013-11-15,11,5.0,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,0,0,0,4
387,1976,1,3,7500.0,0,0,2012-11-13,59,6.0,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,1,-1,0,0,6
2125,1959,2,2,63033.0,0,0,2013-11-15,82,194.0,61,480,12,8,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1,-1,0,1,16
8180,1952,3,2,59354.0,1,1,2013-11-15,53,233.0,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,1,-1,0,0,15
2569,1987,2,3,17323.0,0,0,2012-10-10,38,3.0,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,1,-1,0,0,5
2114,1946,4,4,82800.0,0,0,2012-11-24,23,1006.0,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1,-1,0,1,26
9736,1980,2,3,41850.0,1,1,2012-12-24,51,53.0,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,1,-1,0,0,9
